靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
COID	Name	MDATE	CLOSE
1101   	猟         	20140123	   32.80
1216   	参         	20140123	   37.57
1301   	鹅         	20140123	   65.61
1402   	环狥穝       	20140123	   25.69
2002   	い葵         	20140123	   22.26
2105   	タ穝         	20140123	   62.60
2912   	参禬       	20140123	  165.64
9904   	腳Θ         	20140123	   35.07
6505   	鹅て       	20140123	   63.19
2303   	羛筿         	20140123	   10.55
2330   	縩筿       	20140123	   91.55
2408   	玭ㄈ       	20140123	   40.39
2357   	地河         	20140123	  215.53
3008   	ミ       	20140123	 1100.50
3481   	竤承         	20140123	    8.89
2412   	い地筿       	20140123	   72.58
2308   	笷筿       	20140123	  139.78
2327   	瓣エ         	20140123	   34.25
2317   	翬         	20140123	   66.48
2474   	Θ         	20140123	  179.30
1101   	猟         	20140124	   32.73
1216   	参         	20140124	   37.57
1301   	鹅         	20140124	   65.77
1402   	环狥穝       	20140124	   25.49
2002   	い葵         	20140124	   22.34
2105   	タ穝         	20140124	   62.44
2912   	参禬       	20140124	  166.88
9904   	腳Θ         	20140124	   35.15
6505   	鹅て       	20140124	   63.02
2303   	羛筿         	20140124	   10.55
2330   	縩筿       	20140124	   91.98
2408   	玭ㄈ       	20140124	   40.39
2357   	地河         	20140124	  213.31
3008   	ミ       	20140124	 1077.29
3481   	竤承         	20140124	    8.98
2412   	い地筿       	20140124	   72.50
2308   	笷筿       	20140124	  141.44
2327   	瓣エ         	20140124	   33.84
2317   	翬         	20140124	   67.35
2474   	Θ         	20140124	  178.00
1101   	猟         	20140127	   31.97
1216   	参         	20140127	   37.42
1301   	鹅         	20140127	   64.05
1402   	环狥穝       	20140127	   25.01
2002   	い葵         	20140127	   21.72
2105   	タ穝         	20140127	   61.39
2912   	参禬       	20140127	  167.70
9904   	腳Θ         	20140127	   34.54
6505   	鹅て       	20140127	   62.77
2303   	羛筿         	20140127	   10.14
2330   	縩筿       	20140127	   89.42
2408   	玭ㄈ       	20140127	   39.99
2357   	地河         	20140127	  208.15
3008   	ミ       	20140127	 1081.93
3481   	竤承         	20140127	    8.85
2412   	い地筿       	20140127	   72.66
2308   	笷筿       	20140127	  138.53
2327   	瓣エ         	20140127	   33.71
2317   	翬         	20140127	   67.27
2474   	Θ         	20140127	  175.40
1101   	猟         	20140205	   30.74
1216   	参         	20140205	   36.22
1301   	鹅         	20140205	   61.83
1402   	环狥穝       	20140205	   24.45
2002   	い葵         	20140205	   21.01
2105   	タ穝         	20140205	   60.59
2912   	参禬       	20140205	  160.28
9904   	腳Θ         	20140205	   33.80
6505   	鹅て       	20140205	   62.36
2303   	羛筿         	20140205	    9.86
2330   	縩筿       	20140205	   85.59
2408   	玭ㄈ       	20140205	   40.63
2357   	地河         	20140205	  206.30
3008   	ミ       	20140205	 1063.35
3481   	竤承         	20140205	    8.55
2412   	い地筿       	20140205	   71.39
2308   	笷筿       	20140205	  131.88
2327   	瓣エ         	20140205	   33.57
2317   	翬         	20140205	   64.42
2474   	Θ         	20140205	  174.53
1101   	猟         	20140206	   31.32
1216   	参         	20140206	   35.62
1301   	鹅         	20140206	   61.75
1402   	环狥穝       	20140206	   24.77
2002   	い葵         	20140206	   21.21
2105   	タ穝         	20140206	   62.20
2912   	参禬       	20140206	  161.11
9904   	腳Θ         	20140206	   33.30
6505   	鹅て       	20140206	   61.54
2303   	羛筿         	20140206	    9.90
2330   	縩筿       	20140206	   86.87
2408   	玭ㄈ       	20140206	   43.43
2357   	地河         	20140206	  204.45
3008   	ミ       	20140206	 1068.00
3481   	竤承         	20140206	    8.55
2412   	い地筿       	20140206	   71.39
2308   	笷筿       	20140206	  130.21
2327   	瓣エ         	20140206	   35.87
2317   	翬         	20140206	   64.89
2474   	Θ         	20140206	  180.61
1101   	猟         	20140207	   31.46
1216   	参         	20140207	   36.07
1301   	鹅         	20140207	   61.92
1402   	环狥穝       	20140207	   24.77
2002   	い葵         	20140207	   21.38
2105   	タ穝         	20140207	   62.20
2912   	参禬       	20140207	  163.58
9904   	腳Θ         	20140207	   33.55
6505   	鹅て       	20140207	   62.20
2303   	羛筿         	20140207	    9.94
2330   	縩筿       	20140207	   88.57
2408   	玭ㄈ       	20140207	   44.39
2357   	地河         	20140207	  206.67
3008   	ミ       	20140207	 1068.00
3481   	竤承         	20140207	    8.89
2412   	い地筿       	20140207	   71.47
2308   	笷筿       	20140207	  129.80
2327   	瓣エ         	20140207	   37.62
2317   	翬         	20140207	   64.50
2474   	Θ         	20140207	  191.03
1101   	猟         	20140210	   31.97
1216   	参         	20140210	   36.07
1301   	鹅         	20140210	   62.08
1402   	环狥穝       	20140210	   24.93
2002   	い葵         	20140210	   21.51
2105   	タ穝         	20140210	   62.76
2912   	参禬       	20140210	  162.76
9904   	腳Θ         	20140210	   33.47
6505   	鹅て       	20140210	   62.61
2303   	羛筿         	20140210	    9.94
2330   	縩筿       	20140210	   87.72
2408   	玭ㄈ       	20140210	   44.79
2357   	地河         	20140210	  210.73
3008   	ミ       	20140210	 1081.93
3481   	竤承         	20140210	    8.77
2412   	い地筿       	20140210	   71.39
2308   	笷筿       	20140210	  130.21
2327   	瓣エ         	20140210	   37.62
2317   	翬         	20140210	   64.74
2474   	Θ         	20140210	  187.12
1101   	猟         	20140211	   32.22
1216   	参         	20140211	   36.37
1301   	鹅         	20140211	   62.65
1402   	环狥穝       	20140211	   24.85
2002   	い葵         	20140211	   21.63
2105   	タ穝         	20140211	   62.60
2912   	参禬       	20140211	  160.28
9904   	腳Θ         	20140211	   33.88
6505   	鹅て       	20140211	   62.69
2303   	羛筿         	20140211	    9.94
2330   	縩筿       	20140211	   89.00
2408   	玭ㄈ       	20140211	   43.19
2357   	地河         	20140211	  209.62
3008   	ミ       	20140211	 1109.79
3481   	竤承         	20140211	    8.72
2412   	い地筿       	20140211	   71.23
2308   	笷筿       	20140211	  131.46
2327   	瓣エ         	20140211	   38.70
2317   	翬         	20140211	   63.71
2474   	Θ         	20140211	  189.72
1101   	猟         	20140212	   32.69
1216   	参         	20140212	   36.15
1301   	鹅         	20140212	   63.15
1402   	环狥穝       	20140212	   25.09
2002   	い葵         	20140212	   21.67
2105   	タ穝         	20140212	   62.68
2912   	参禬       	20140212	  159.87
9904   	腳Θ         	20140212	   34.25
6505   	鹅て       	20140212	   63.02
2303   	羛筿         	20140212	   10.02
2330   	縩筿       	20140212	   89.42
2408   	玭ㄈ       	20140212	   42.95
2357   	地河         	20140212	  214.05
3008   	ミ       	20140212	 1128.36
3481   	竤承         	20140212	    8.85
2412   	い地筿       	20140212	   71.71
2308   	笷筿       	20140212	  138.53
2327   	瓣エ         	20140212	   38.02
2317   	翬         	20140212	   65.21
2474   	Θ         	20140212	  198.41
1101   	猟         	20140213	   32.80
1216   	参         	20140213	   35.66
1301   	鹅         	20140213	   62.82
1402   	环狥穝       	20140213	   25.01
2002   	い葵         	20140213	   21.42
2105   	タ穝         	20140213	   61.79
2912   	参禬       	20140213	  157.81
9904   	腳Θ         	20140213	   33.76
6505   	鹅て       	20140213	   62.44
2303   	羛筿         	20140213	   10.02
2330   	縩筿       	20140213	   89.42
2408   	玭ㄈ       	20140213	   41.27
2357   	地河         	20140213	  212.57
3008   	ミ       	20140213	 1105.15
3481   	竤承         	20140213	    9.02
2412   	い地筿       	20140213	   71.71
2308   	笷筿       	20140213	  136.45
2327   	瓣エ         	20140213	   37.48
2317   	翬         	20140213	   65.53
2474   	Θ         	20140213	  191.03
1101   	猟         	20140214	   33.02
1216   	参         	20140214	   36.60
1301   	鹅         	20140214	   63.23
1402   	环狥穝       	20140214	   25.45
2002   	い葵         	20140214	   21.72
2105   	タ穝         	20140214	   61.96
2912   	参禬       	20140214	  156.57
9904   	腳Θ         	20140214	   34.21
6505   	鹅て       	20140214	   62.61
2303   	羛筿         	20140214	   10.10
2330   	縩筿       	20140214	   91.55
2408   	玭ㄈ       	20140214	   40.23
2357   	地河         	20140214	  212.57
3008   	ミ       	20140214	 1100.50
3481   	竤承         	20140214	    9.14
2412   	い地筿       	20140214	   72.10
2308   	笷筿       	20140214	  136.45
2327   	瓣エ         	20140214	   37.21
2317   	翬         	20140214	   66.16
2474   	Θ         	20140214	  185.38
1101   	猟         	20140217	   33.20
1216   	参         	20140217	   36.89
1301   	鹅         	20140217	   62.98
1402   	环狥穝       	20140217	   25.41
2002   	い葵         	20140217	   21.55
2105   	タ穝         	20140217	   62.44
2912   	参禬       	20140217	  156.57
9904   	腳Θ         	20140217	   33.92
6505   	鹅て       	20140217	   62.86
2303   	羛筿         	20140217	   10.02
2330   	縩筿       	20140217	   92.40
2408   	玭ㄈ       	20140217	   37.43
2357   	地河         	20140217	  211.10
3008   	ミ       	20140217	 1091.22
3481   	竤承         	20140217	    9.02
2412   	い地筿       	20140217	   72.10
2308   	笷筿       	20140217	  136.45
2327   	瓣エ         	20140217	   37.75
2317   	翬         	20140217	   66.16
2474   	Θ         	20140217	  189.29
1101   	猟         	20140218	   33.23
1216   	参         	20140218	   37.42
1301   	鹅         	20140218	   62.98
1402   	环狥穝       	20140218	   25.49
2002   	い葵         	20140218	   21.80
2105   	タ穝         	20140218	   62.52
2912   	参禬       	20140218	  152.45
9904   	腳Θ         	20140218	   34.54
6505   	鹅て       	20140218	   63.02
2303   	羛筿         	20140218	   10.02
2330   	縩筿       	20140218	   91.98
2408   	玭ㄈ       	20140218	   38.63
2357   	地河         	20140218	  216.26
3008   	ミ       	20140218	 1081.93
3481   	竤承         	20140218	    8.85
2412   	い地筿       	20140218	   72.18
2308   	笷筿       	20140218	  139.36
2327   	瓣エ         	20140218	   37.48
2317   	翬         	20140218	   66.40
2474   	Θ         	20140218	  190.16
1101   	猟         	20140219	   33.05
1216   	参         	20140219	   37.42
1301   	鹅         	20140219	   63.48
1402   	环狥穝       	20140219	   25.29
2002   	い葵         	20140219	   21.76
2105   	タ穝         	20140219	   63.16
2912   	参禬       	20140219	  152.87
9904   	腳Θ         	20140219	   34.41
6505   	鹅て       	20140219	   63.43
2303   	羛筿         	20140219	   10.06
2330   	縩筿       	20140219	   91.98
2408   	玭ㄈ       	20140219	   37.43
2357   	地河         	20140219	  222.54
3008   	ミ       	20140219	 1086.57
3481   	竤承         	20140219	    8.89
2412   	い地筿       	20140219	   72.58
2308   	笷筿       	20140219	  140.20
2327   	瓣エ         	20140219	   37.62
2317   	翬         	20140219	   66.56
2474   	Θ         	20140219	  188.86
1101   	猟         	20140220	   33.09
1216   	参         	20140220	   36.67
1301   	鹅         	20140220	   62.74
